la,
le,
mo,
pa,pas
so,
ti,chi
de,"2,d"
fer,"faire,fr"
si,
ou,
pe,p
ek,"et,e"
enn,"ene,1,en,n,un"
sa,
zot,zotte
dan,dans
pou,pour
a,
b,be
li,
dimoune,
tou,tout
c,
twa,toi
finn,"in,fine"
byin,bien
ki,qui
mai,mais
nou,nu
gagne,ggne
nous,nou
vasin,vaccin
mwa,moi
vinn,vine
bann,"banne,ban"
covid-19,"covid,corona"
premier ministre,pm
to,t
avek,avec
mem,meme
ar,"r,are"
moris,maurice
alle,
gran,grand
pri,"prix,pris"
chatwa,
mor,mort
pays,
kuma,couma
pren,pren
legime,legume
kaka,"kk,kkliki,kakaliki,kl,caca"
liki,"l,lkm,likitorma,boussou,busu,bousou"
gogot,"ggt,g"
pilon,"pln,peelon,p"
fesse,"fes,f,fess,fss,q,cul,fs"
bour,"boure,pez,viol,bld"
falour,"flm,falourmama,falomama,flrmm"
graine,grain
bouss,"bouse,bousse,bous"
batiara,bachiara
kok,"coq,penis,bigoul,zozo"
pissar,"pisar,piss,pis"
to mama,"trma, torma, tormama, trmama"
